profile,jobs,recordsize,src_coalesce,mode,iters,sha_ok_all,elapsed_ms,latency_avg_ms,write_bw_mib_s,cpu_active_s_per_gib,cpu_system_s_per_gib,compressratio,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,qat_setup_ns_per_req,qat_submit_ns_per_req,qat_wait_ns_per_req,qat_cleanup_ns_per_req,qat_page_array_alloc_ns_per_req,qat_page_array_free_ns_per_req,qat_buffer_list_alloc_ns_per_req,qat_buffer_list_free_ns_per_req,qat_req_alloc_ns_per_req,qat_req_free_ns_per_req,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,qat_bound_bytes_per_req,qat_scratch_bytes_per_req,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,comp_requests_delta,comp_in_delta,dc_fails_delta,dc_compress_submit_fails_delta,dc_compress_async_submits_delta,dc_compress_async_completions_delta,dc_compress_async_cap_skips_delta,coalesce_alloc_ns_per_req,coalesce_copy_ns_per_req,coalesce_free_ns_per_req,coalesce_bytes_per_req
async,8,64K,0,qat,2,yes,1746.545500,,838.295000,13.769944,13.711350,,0.000000,0.000000,100.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,23360.000000,0.000000,23360.000000,,,,
async,8,64K,0,sw,2,yes,1859.762000,,785.480000,14.058283,13.979501,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,8,64K,1,qat,2,yes,1739.829000,,839.990000,13.913337,13.847334,,0.000000,0.000000,100.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,23360.000000,0.000000,23360.000000,,,,
async,8,64K,1,sw,2,yes,1734.658500,,841.780000,14.068815,14.006636,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,8,128K,0,qat,2,yes,1535.410000,,951.255000,8.357881,8.274862,,75.625000,75.575000,24.425000,24.425000,138605728.500000,138419058.500000,11645.388500,8077.353500,17302382.329000,3610.996000,1252.370000,1695.322000,1303.693500,721.260000,588.789500,293.406000,32.000000,37.000000,147511.000000,32825.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8832.000000,1157627904.000000,0.000000,,11686.500000,8832.000000,2854.500000,,,,
async,8,128K,0,sw,2,yes,1519.415500,,960.810000,12.639312,12.560826,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,8,128K,1,qat,2,yes,1569.630000,,930.810000,8.812426,8.738937,,79.135000,79.085000,20.915000,20.915000,118529420.000000,117821958.000000,74053.897000,7341.457000,14727744.760000,7037.410500,1473.528500,1801.253000,867.155000,529.211500,769.747500,526.984000,1.000000,37.000000,147511.000000,32825.000000,9242.000000,9242.000000,0.000000,1211367424.000000,233112860.000000,345887515.000000,29521315.000000,9242.000000,1211367424.000000,0.000000,,11686.000000,9242.000000,2444.000000,25223.204934,37425.612963,3194.256113,131072.000000
async,8,128K,1,sw,2,yes,1559.527500,,937.345000,13.285219,13.205348,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,8,256K,0,qat,2,yes,1366.010000,,1068.700000,7.346471,7.288213,,64.415000,64.335000,35.665000,35.665000,40915638.500000,40790766.500000,15677.113000,12332.211500,10197691.620500,3208.753000,1738.913000,1989.027500,3.517500,2.600000,582.571500,330.476500,64.000000,73.000000,294967.000000,65593.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3761.500000,986054656.000000,0.000000,,5847.000000,3761.500000,2085.500000,,,,
async,8,256K,0,sw,2,yes,1436.018000,,1016.695000,12.275552,12.214278,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,8,256K,1,qat,2,yes,1486.675500,,982.340000,8.519706,8.459903,,76.410000,76.320000,23.680000,23.680000,26064883.500000,24872922.000000,273819.930500,12526.318500,6218230.495500,11644.094500,3189.245500,3253.714000,0.000000,0.000000,1105.233000,558.448000,1.000000,73.000000,294967.000000,65593.000000,4462.000000,4462.000000,0.000000,1169686528.000000,353241815.000000,777801460.000000,28373850.000000,4462.000000,1169686528.000000,0.000000,,5846.500000,4462.000000,1384.500000,79166.699910,174316.777230,6358.998207,262144.000000
async,8,256K,1,sw,2,yes,1401.023000,,1042.920000,12.440348,12.383930,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
